iter	RMSE
0	10.87104928
1	10.67712712
2	10.50987003
3	10.36232628
4	10.24073264
5	10.1370139
6	10.05282849
7	9.977057235
8	9.902310246
9	9.848381724
10	9.786396237
11	9.706160549
12	9.635756661
13	9.57876219
14	9.537561274
15	9.487849594
16	9.456971247
17	9.429349391
18	9.401817075
19	9.372696185
20	9.345637751
21	9.323663406
22	9.305297815
23	9.282652873
24	9.257273986
25	9.239025868
26	9.222578278
27	9.204462742
28	9.187939738
29	9.178765244
30	9.167546311
31	9.157891662
32	9.152224248
33	9.146985989
34	9.141383118
35	9.131398012
36	9.124918407
37	9.107981078
38	9.098066691
39	9.086922607
40	9.078651805
41	9.063410331
42	9.053613072
43	9.049266281
44	9.040172418
45	9.030478499
46	9.025970898
47	9.014189818
48	9.005463955
49	9.001109549
50	8.993235402
51	8.988679908
52	8.97763842
53	8.969944387
54	8.960870953
55	8.953821278
56	8.950209102
57	8.940653551
58	8.93364086
59	8.930641743
60	8.92696639
61	8.921552704
62	8.916593793
63	8.90806249
64	8.903422155
65	8.895741975
66	8.89056658
67	8.883417559
68	8.87283834
69	8.867089767
70	8.863440787
71	8.859555014
72	8.854886536
73	8.850735955
74	8.84557741
75	8.839161728
76	8.836126898
77	8.826584929
78	8.81705366
79	8.808804099
80	8.80421591
81	8.797011825
82	8.793923693
83	8.784291958
84	8.777130792
85	8.765472479
86	8.763404504
87	8.760107951
88	8.757135762
89	8.751663515
90	8.746804393
91	8.735001918
92	8.729940562
93	8.728915187
94	8.726649949
95	8.721060844
96	8.715995733
97	8.708988878
98	8.70364175
99	8.693663037
100	8.687468229
101	8.679510168
102	8.672164561
103	8.661441915
104	8.659565109
105	8.653009438
106	8.641692923
107	8.628243811
108	8.624158164
109	8.618081669
110	8.613886054
111	8.611023471
112	8.605054876
113	8.603162272
114	8.59384777
115	8.585005942
116	8.58241159
117	8.575532757
118	8.569609892
119	8.566497232
120	8.564449247
121	8.556320926
122	8.546042701
123	8.539204715
124	8.53285528
125	8.528243389
126	8.520938026
127	8.518806658
128	8.517908594
129	8.511261005
130	8.508282608
131	8.501320995
132	8.493287944
133	8.485342468
134	8.482222184
135	8.47449966
136	8.470590061
137	8.468890011
138	8.466499387
139	8.462669317
140	8.458132421
141	8.449917038
142	8.442635234
143	8.438252724
144	8.434128793
145	8.429178083
146	8.424992795
147	8.417521409
148	8.411602968
149	8.405404237
150	8.400871112
151	8.396762979
152	8.389754618
153	8.387026734
154	8.382093644
155	8.375438268
156	8.369508868
157	8.363783791
158	8.357362708
159	8.349794817
160	8.344967276
161	8.339848259
162	8.332475781
163	8.327480805
164	8.324139261
165	8.318542155
166	8.316279133
167	8.313026653
168	8.306845172
169	8.303594665
170	8.293054118
171	8.291855197
172	8.28282942
173	8.279092852
174	8.276919664
175	8.271280926
176	8.267338457
177	8.264651873
178	8.262324823
179	8.256500264
180	8.255528039
181	8.251896084
182	8.248886947
183	8.245364798
184	8.241146179
185	8.235139299
186	8.231757287
187	8.228547113
188	8.223055293
189	8.219786344
190	8.215212719
191	8.210097298
192	8.204146298
193	8.199625981
194	8.194363468
195	8.188791126
196	8.182796906
197	8.178795322
198	8.17425984
199	8.168242295
