iter	Passed	Remaining
0	201	40044
1	261	25880
2	323	21215
3	388	19030
4	453	17682
5	515	16672
6	575	15858
7	639	15355
8	697	14811
9	758	14420
10	818	14070
11	879	13782
12	942	13562
13	997	13248
14	1054	13008
15	1115	12827
16	1171	12614
17	1235	12494
18	1293	12317
19	1355	12201
20	1414	12054
21	1482	11990
22	1558	11996
23	1617	11864
24	1688	11818
25	1745	11678
26	1801	11542
27	1854	11391
28	1917	11306
29	1980	11224
30	2043	11139
31	2107	11065
32	2177	11020
33	2240	10939
34	2310	10890
35	2368	10790
36	2436	10733
37	2504	10677
38	2561	10575
39	2614	10457
40	2656	10303
41	2706	10181
42	2767	10105
43	2829	10030
44	2897	9981
45	2960	9910
46	3019	9828
47	3083	9763
48	3138	9671
49	3194	9584
50	3257	9517
51	3317	9441
52	3380	9376
53	3452	9333
54	3508	9249
55	3566	9171
56	3614	9066
57	3683	9019
58	3754	8973
59	3812	8894
60	3871	8822
61	3929	8745
62	3990	8677
63	4048	8603
64	4106	8529
65	4172	8472
66	4234	8405
67	4298	8344
68	4356	8271
69	4421	8212
70	4486	8151
71	4551	8090
72	4613	8026
73	4674	7959
74	4733	7889
75	4796	7825
76	4852	7751
77	4870	7618
78	4930	7551
79	4986	7480
80	5045	7412
81	5104	7346
82	5161	7276
83	5225	7215
84	5287	7153
85	5346	7086
86	5411	7028
87	5469	6961
88	5525	6891
89	5583	6824
90	5650	6768
91	5716	6710
92	5783	6653
93	5840	6585
94	5897	6518
95	5954	6451
96	6015	6387
97	6075	6323
98	6127	6251
99	6193	6193
100	6250	6126
101	6312	6064
102	6372	6001
103	6437	5942
104	6503	5884
105	6563	5820
106	6628	5760
107	6690	5698
108	6750	5635
109	6809	5571
110	6871	5509
111	6944	5456
112	7010	5397
113	7076	5338
114	7135	5274
115	7196	5211
116	7258	5148
117	7313	5082
118	7376	5021
119	7436	4957
120	7502	4898
121	7563	4835
122	7632	4778
123	7697	4717
124	7757	4654
125	7825	4595
126	7890	4535
127	7957	4476
128	8016	4411
129	8074	4347
130	8127	4281
131	8184	4216
132	8244	4153
133	8303	4089
134	8359	4024
135	8414	3959
136	8480	3899
137	8540	3837
138	8605	3776
139	8670	3715
140	8725	3651
141	8785	3588
142	8846	3526
143	8899	3460
144	8962	3399
145	9020	3336
146	9082	3274
147	9144	3212
148	9208	3152
149	9270	3090
150	9326	3026
151	9408	2971
152	9472	2909
153	9528	2846
154	9594	2785
155	9654	2722
156	9722	2662
157	9788	2602
158	9857	2541
159	9917	2479
160	9996	2421
161	10060	2359
162	10115	2296
163	10172	2232
164	10236	2171
165	10312	2112
166	10380	2051
167	10440	1988
168	10495	1925
169	10552	1862
170	10613	1799
171	10682	1738
172	10745	1677
173	10806	1614
174	10871	1553
175	10925	1489
176	10982	1427
177	11042	1364
178	11108	1303
179	11166	1240
180	11233	1179
181	11294	1117
182	11353	1054
183	11409	992
184	11467	929
185	11529	867
186	11589	805
187	11646	743
188	11704	681
189	11763	619
190	11819	556
191	11892	495
192	11951	433
193	12031	372
194	12092	310
195	12161	248
196	12224	186
197	12297	124
198	12363	62
199	12420	0
